pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
Kepler-270 c,Kepler-270,948.78100000,1.77000000,,25.26288700000,0.1800000000,756.00,6067.00,0.31211,1.461000,1.170000,2.7300,,Transit,2014,0
TOI-757 b,TOI-757,60.34180000,2.50000000,1.05000000000000e+01,17.46819000000,0.1220000000,641.00,5278.00,-0.37675,0.780000,0.800000,7.5000,K0 V,Transit,2024,0
Kepler-1157 b,Kepler-1157,342.14400000,1.09000000,,4.45743164000,0.0448000000,732.00,4679.00,-0.67539,0.710000,0.760000,3.3900,,Transit,2016,0
Kepler-1746 b,Kepler-1746,979.54100000,8.93504475,,321.21200560000,0.9408200000,310.00,6018.00,0.49600,1.286000,1.090000,5.7500,,Transit,2021,0
K2-243 c,K2-243,266.86400000,2.01000000,,24.94598000000,0.1817000000,801.00,6570.00,0.42675,1.390000,1.290000,,,Transit,2018,0
Kepler-403 d,Kepler-403,840.26900000,1.42000000,,13.61159129000,0.1217800000,958.00,6209.00,0.64405,1.450000,1.250000,3.0900,,Transit,2016,0
TOI-2714 b,TOI-2714,597.87300000,13.72000000,2.28000000000000e+02,2.49938700000,0.0360000000,1603.00,5665.00,0.16017,1.250000,1.070000,5.5000,,Transit,2024,0
Kepler-378 b,Kepler-378,152.09400000,0.75000000,,16.09236100000,0.1120000000,503.00,4661.00,-0.65539,0.671000,0.780000,3.2400,,Transit,2014,0
TOI-216.01,TOI-216,177.94500000,10.10000000,1.77983907920000e+02,34.52552800000,0.2069000000,497.00,5026.00,-0.44159,0.748000,0.770000,,,Transit,2019,0
HD 102272 b,HD 102272,347.09700000,12.90000000,,127.58000000000,0.5100000000,,4790.00,1.66167,10.300000,1.450000,,K0,Radial Velocity,2008,0
GJ 2056 b,GJ 2056,28.44340000,4.17000000,,69.97100000000,0.2830000000,,4069.95,-0.90505,0.709495,0.620000,,M0V:,Radial Velocity,2020,0
